Customer_ID,Gender,Age,Remaining Rewards Points,Churn
100000154,Male,60,640,0
100008860,Female,60,2510,0
100026871,Female,30,860,0
100030564,Male,20,410,0
100030755,Female,40,180,1
100041324,Female,30,1810,0
100106184,Female,20,1750,1
100110150,Male,50,480,0
100128384,Female,20,3190,0
100251211,Female,40,1500,0
100329903,Male,20,230,1
100332286,Male,60,430,1
100347136,Female,30,1260,0
100348645,Male,60,620,1
100389600,Female,30,1290,1
100425483,Female,20,1475,1
100479745,Female,40,1340,0
100499156,Female,20,580,0
100518444,Male,60,1240,0
100528122,Female,60,530,1
100532853,Female,40,1130,0
100559553,Female,40,1750,0
100623124,Female,30,420,1
100696807,Female,30,1770,0
100720243,Male,20,530,1
100722902,Female,40,1250,1
100727204,Female,20,170,1
100737944,Male,20,300,1
100794206,Female,40,330,1
100851404,Female,20,1170,0
100892193,Female,30,810,0
100898768,Male,60,1240,1
100908993,Male,20,2830,0
100910934,Female,40,2070,0
100952248,Female,30,385,1
100953726,Male,50,850,1
100953856,Male,30,480,0
100962582,Female,50,2600,0
100978828,Female,40,1540,0
100979252,Male,40,1590,0
100995429,Female,30,340,1
101017021,Male,20,2190,1
101039306,Female,30,500,1
101041590,Male,50,3740,0
101080186,Male,40,1430,0
101082203,Male,40,510,1
101125016,Female,60,410,1
101154771,Male,30,1080,0
101194708,Female,60,1090,1
101204711,Female,40,580,1
101235036,Female,50,1720,0
101237634,Female,20,180,1
101242447,Female,40,1660,0
101249552,Female,60,140,1
101256086,Male,20,1570,0
101354621,Female,20,1760,0
101367492,Female,50,2150,0
101380699,Female,60,1520,1
101398373,Female,20,1830,0
101426205,Female,20,1700,0
101426472,Male,20,1420,1
101437485,Male,30,650,0
101438888,Female,20,1300,0
101441307,Male,30,880,0
101457926,Female,30,1080,0
101459968,Female,20,860,1
101481167,Female,60,605,1
101522136,Male,20,1100,0
101537352,Female,60,380,1
101572018,Female,20,400,1
101573992,Female,30,460,1
101584660,Female,40,1710,1
101612592,Female,50,1325,1
101625905,Male,20,800,0
101629071,Female,30,700,1
101632958,Female,20,1080,0
101639940,Male,60,900,0
101655629,Female,40,1080,1
101660883,Female,40,4410,1
101663389,Male,40,1980,0
101680942,Female,20,1800,1
101713022,Male,30,4380,0
101742688,Female,20,2270,0
101754544,Female,20,385,1
101773750,Female,40,1810,0
101783322,Female,30,290,1
101788228,Female,40,2530,0
101798678,Male,30,1550,1
101842203,Female,30,1220,0
101848199,Female,20,460,1
101864878,Female,30,490,1
101878035,Male,20,1020,0
101902716,Female,40,235,0
101911169,Female,20,2270,0
101929270,Male,40,700,1
101938029,Male,60,520,1
101965568,Male,40,320,1
101994889,Male,40,2780,0
102006178,Female,30,1350,0
102032658,Female,20,320,1
102080215,Female,30,910,1
102086019,Female,30,3540,1
102115863,Female,50,1900,0
102130606,Male,20,490,1
102131252,Female,40,920,0
102140124,Male,20,2050,1
102146560,Female,20,1240,0
102151670,Male,30,730,1
102166674,Male,60,320,1
102216904,Male,20,680,1
102344225,Female,40,2110,0
102346793,Female,40,1350,0
102426624,Male,40,180,1
102453019,Female,20,740,0
102491639,Female,50,2000,0
102547176,Female,30,805,1
102548531,Male,30,525,0
102551340,Male,20,1095,1
102578729,Male,30,180,1
